conversation_id,message,reply,correctness,groundedness,helpfulness,tone,hallucination
conv_1606780,I turn on hide alerts and I’m still getting notifications for the texts.,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_2678,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. https://t.co/qBFIAlpGyD","Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_149980,"My phone is stuck on restart screen, please help :(","Sorry your iPhone keeps restarting unexpectedly.Install any available iOS update, check that you have enough storage, and disconnect accessories to see whether the restarts stop. If the issue continues, Apple Support can help diagnose it.",4,4,5,4,5
conv_1679144,still waiting for you to fix this mess with the letter I️ & the speaker crackling . What’s the status of the fix ? https://t.co/nfbnWacYiB,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_50617,Before the update my phone would last over a day but now it only lasts half a day again😤 What are you doing to me @115858,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_1692539,Hey @AppleSupport pourquoi est-ce que depuis la MAJ iOS 11 mon iPhone 5 est en mode diapo pour écrire des sms ?,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_2082995,"By far worst updates from @115858 😞 My #MacBookPro crashes atleast 3times a day on #HighSierra, iPhone is freezing all the time on #iOS11!!?!","Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_1548750,My iPhone SE lags and overheats with iOS 11.1 😢🤬😠 @115858 @AppleSupport @116333,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",2,4,3,4,5
conv_998954,my phone is a month old and hasn’t worked since the update?,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_2623613,Why are #iTunes movie rentals so slow to stream? #buffering #FirstWorldProblems,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,4,3,4,5
conv_820442,fix your new update!!!!! So shit,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_94836,Hey...I have a question about the most recent security update on my MBP,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_1786584,how come I can’t download the latest update ? https://t.co/Uhw2pgkYIW,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_2960124,"Hi @AppleSupport..My iPhone switches to landscape mode when I turn my phone sideways, even with portrait lock switched on. I’m using iOS 11.1.1. This didn’t happen previously. Is it a known issue?","Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_2044955,Ever since the new IOS update came my 6s has been freezing... @115858 y’all not low.... not happening https://t.co/paqeNI7RRP,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_1233623,my phone keeps auto correcting capital i to something else (see pic). iOS is completely up to date. Help? https://t.co/mhDdVvErye,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,4,3,4,5
conv_2294663,"your new update to fix the “I” issue is now causing my phone to crash left and right, turn itself on, then tell me the battery is dead and needs to be plugged in. Please fix","Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",2,2,3,4,5
conv_1779393,why are there so many issues on my iPhone since I downloaded iOS 11? I wish I didn’t update or switched from android,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_252866,can you please update your maps for the new queensferry bridge. I’m nae in the middle of the north sea and my phone is yellin @ me. https://t.co/nV6JQN01fQ,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",2,2,3,4,5
conv_1449286,Just downloaded the iOS 11.0.3 software update and.. none of my downloaded @115948 will play (offline) @AppleSupport SOS 😭 https://t.co/YlSaaB3N0v,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,4,3,4,5
conv_500037,Fix this piece of shit IOS 11.1.2 or let us roll back for fuck sakes..!!!!! @115858,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_1753258,Get the update together! My texts aren’t sending through and I️ have to deal with this👇🏼 everytime I️ type “I️” #dontforcetheswitch https://t.co/XxwFEMRkTE,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",3,2,3,4,5
conv_1216324,Dear @AppleSupport the new iOS thinks I’m driving when I’m riding the NYC subway. How do I make it stop that?,"Sorry you're having trouble after the update.Try restarting your device and checking that you have enough available storage. If the issue continues, Apple Support can help with further troubleshooting.",2,2,3,4,5
conv_2944001,and @AppleSupport doing nothing about my problem. @TMobileHelp says my phone isn't theirs. @115858 stating that they cannot unlock my phone because it is @TMobileHelp. Who should I believe? T-Mobile asked money to unlock the phone paid in full price.,"Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_2730443,what is this “other” and how do I delete it? It seems to use up a lot of space. #iphone https://t.co/XX9BHoBOiC,"Tell us which Apple feature you want to use, and we can provide the steps.",3,2,2,4,5
conv_2751162,"If you tried to reach me , phone acting stupid , deleting messages and contacts , @115858 trying to get me to buy that IPhone X . Text me full names please ...","Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_1557398,I’ve updated everything and finally caved in to pay for more storage and I still see boxes 🤦🏾‍♀️ why @115858 ??? #AppleUpdate 😭😭,"Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_451351,there HAS to be another way to stop cloud storage notifications other than by deleting stuff (although I did that to no avail). This is annoying the shit out of me and I need it to stop...NOW!,"Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_2984909,"The MacBook Pro keyboard is total failure of design, and the space bar only registers every other time. Keep in mind, I got this thing back from @AppleSupport two weeks ago. I want my 2015 MBP back.","Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_2743089,Since 4 November i have had contact with the support about my iCloud storage and still no solution. How long will that take normally?,"Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_1991446,"help my phone sounds like it’s getting conquered by intergalactic space aliens, not a joke actually need help","Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_2367853,I missed you today lightning connector didn’t need you since morning 7 and still going strong on 30% at end of the day. With full day use. #iphone x @AppleSupport @115858 @116333,"Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_879290,"I need answers, I’m not kidding! Since when Siri reads a full text and active herself @AppleSupport https://t.co/xFwIgqpWFo","Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_1886636,"Hi, experiencing consistent storage issues with my iphone even after paying for 50g of cloud. any chance you can look into it","Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,2,5,4,5
conv_905289,help!!!! My full Apple Music iTunes library has disappeared !!! Help help help,"Your iPhone is low on storage.Go to Settings > General > iPhone Storage to review recommendations and remove unused apps, photos, or downloads.",4,4,5,4,5
