conversation_id,message,intent,expected_action,first_support_reply,label_source,review_status,notes
conv_2341858,Okay but seriously @115858 is there a way to undo this update?!!!! Because this shit is TRASH ! R.I.P to my battery life & R.I.P to texting anything with an “i” in it !😒😒😒😒,device_hardware_issue,AUTO_HANDLE,"@677395 Thank you for reaching out to us. We know how important it is to have this resolved as quickly as possible. To start, have you updated your device to iOS 11.1.1? You can update your device by following these steps: https://t.co/80YRnjDFDk",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1701019,", This new update drains my battery waaaaay too fast 👎🏼",device_hardware_issue,AUTO_HANDLE,"@515787 You're in the right place for help. To get us started, may we have the device and OS version that we're working with?",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1896363,My battery went from 50% to 35% in less then one minute. WTF,device_hardware_issue,AUTO_HANDLE,"@565222 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_617289,hey there ! I updated to iOS 11.1.2 last night & today my device keeps getting restart on its own...it has happened like 10-12 times while i’m using. Help !!!,software_update_issue,AUTO_HANDLE,@266451 Thanks for letting us know about this. We know you rely on your iPhone and we want to help. Please DM us about this issue and we'll continue there. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_282537,your update decides to turn on my Bluetooth & WiFi whenever it wants draining my batter. Finding contacts by name is messed up,software_update_issue,AUTO_HANDLE,@183307 Wi-Fi and Bluetooth toggles in Control Center work a bit differently in iOS 11. Read more here: https://t.co/G7BHuQnDS6,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1606780,I turn on hide alerts and I’m still getting notifications for the texts.,device_hardware_issue,AUTO_HANDLE,@493576 Let's see what we can do about that. Where in settings did you turn off the Notifications for messages?,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2678,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. https://t.co/qBFIAlpGyD",device_hardware_issue,AUTO_HANDLE,"@116350 We're here for you. DM us, and we'll look into this together. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_149980,"My phone is stuck on restart screen, please help :(",device_hardware_issue,AUTO_HANDLE,"@150190 Having your phone work great is our goal and we're happy to help. To make sure we've got it correct, the phone is showing the Apple Logo correct? DM us that information and we'll get to work sorting this out. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1679144,still waiting for you to fix this mess with the letter I️ & the speaker crackling . What’s the status of the fix ? https://t.co/nfbnWacYiB,device_hardware_issue,AUTO_HANDLE,@510666 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_50617,Before the update my phone would last over a day but now it only lasts half a day again😤 What are you doing to me @115858,software_update_issue,AUTO_HANDLE,"@127356 We know how important it is to maximize battery life. Let's partner up and get to the bottom of this together. To start, can you DM us the iPhone model and exact version of iOS running? Go to Settings > General > About to check. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1692539,Hey @AppleSupport pourquoi est-ce que depuis la MAJ iOS 11 mon iPhone 5 est en mode diapo pour écrire des sms ?,software_update_issue,AUTO_HANDLE,@513694 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2082995,"By far worst updates from @115858 😞 My #MacBookPro crashes atleast 3times a day on #HighSierra, iPhone is freezing all the time on #iOS11!!?!",software_update_issue,AUTO_HANDLE,@616024 We'd like to address both devices issues with you. Send us a DM using the link below and we'll take it from there. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1548750,My iPhone SE lags and overheats with iOS 11.1 😢🤬😠 @115858 @AppleSupport @116333,device_hardware_issue,AUTO_HANDLE,@479427 That's certainly not what we'd expect. We'll be happy to assist as best we can. Are you seeing this specifically with any apps?,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_998954,my phone is a month old and hasn’t worked since the update?,software_update_issue,AUTO_HANDLE,@356532 We're happy to help. Can you tell how it's not working or what it is or isn't doing? Let us know in DM. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2623613,Why are #iTunes movie rentals so slow to stream? #buffering #FirstWorldProblems,software_update_issue,AUTO_HANDLE,@741175 Having trouble with slow downloads? Start with the steps here: https://t.co/hKm61wo90r DM us if you have any more questions. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_820442,fix your new update!!!!! So shit,software_update_issue,AUTO_HANDLE,@315441 Hello. We'll be glad to help if you've experienced an issue. Please shoot us a DM and we'll get started: https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_94836,Hey...I have a question about the most recent security update on my MBP,software_update_issue,AUTO_HANDLE,"@136607 We're here to help however we can. Let us know via DM the question you have on the update, then we can go from there. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1786584,how come I can’t download the latest update ? https://t.co/Uhw2pgkYIW,software_update_issue,AUTO_HANDLE,@158590 We've sent you some steps in DM. Have you had a chance to try those? https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2960124,"Hi @AppleSupport..My iPhone switches to landscape mode when I turn my phone sideways, even with portrait lock switched on. I’m using iOS 11.1.1. This didn’t happen previously. Is it a known issue?",software_update_issue,AUTO_HANDLE,"@764426 Thanks for reaching out to us about this. Could we please have you follow these steps https://t.co/80YRnjDFDk to update to iOS 11.1.2, and let us know if this issue continues?",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2044955,Ever since the new IOS update came my 6s has been freezing... @115858 y’all not low.... not happening https://t.co/paqeNI7RRP,software_update_issue,AUTO_HANDLE,@604750 Let's help take a closer look and get this sorted. Please reach out to us via DM and we can go from there. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1233623,my phone keeps auto correcting capital i to something else (see pic). iOS is completely up to date. Help? https://t.co/mhDdVvErye,software_update_issue,AUTO_HANDLE,"@409338 Let's get this working correctly. First, try Settings > General > Reset > Reset Keyboard Dictionary. Then restart and test again.",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2294663,"your new update to fix the “I” issue is now causing my phone to crash left and right, turn itself on, then tell me the battery is dead and needs to be plugged in. Please fix",device_hardware_issue,AUTO_HANDLE,"@666312 We want your iPhone to work properly for you after you update, and we'd like to help. In DM, please let us know if this is happening while using a particular app or at random times. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1779393,why are there so many issues on my iPhone since I downloaded iOS 11? I wish I didn’t update or switched from android,software_update_issue,AUTO_HANDLE,@534627 We certainly understand how important it is to have your iPhone running efficiently. Join us in DM with more details. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_252866,can you please update your maps for the new queensferry bridge. I’m nae in the middle of the north sea and my phone is yellin @ me. https://t.co/nV6JQN01fQ,other_general,ESCALATE,"@176091 Thanks for reaching out. We'd like to have you ""Report an issue in Maps"" following the steps here: https://t.co/jiMIBQw7go",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1449286,Just downloaded the iOS 11.0.3 software update and.. none of my downloaded @115948 will play (offline) @AppleSupport SOS 😭 https://t.co/YlSaaB3N0v,software_update_issue,AUTO_HANDLE,"@456304 You should be able to play downloaded content on, or offline. Does this persist after rebooting the device?",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_500037,Fix this piece of shit IOS 11.1.2 or let us roll back for fuck sakes..!!!!! @115858,software_update_issue,AUTO_HANDLE,"@234436 We're unable to go back to a previous iOS, however we'd love to help with any issue you have. DM us some additional information on what is wrong. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1753258,Get the update together! My texts aren’t sending through and I️ have to deal with this👇🏼 everytime I️ type “I️” #dontforcetheswitch https://t.co/XxwFEMRkTE,software_update_issue,AUTO_HANDLE,@528119 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1216324,Dear @AppleSupport the new iOS thinks I’m driving when I’m riding the NYC subway. How do I make it stop that?,device_how_to,AUTO_HANDLE,@405406 We can check it out. Which app does this behavior occur?,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2944001,and @AppleSupport doing nothing about my problem. @TMobileHelp says my phone isn't theirs. @115858 stating that they cannot unlock my phone because it is @TMobileHelp. Who should I believe? T-Mobile asked money to unlock the phone paid in full price.,device_storage_issue,AUTO_HANDLE,,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2730443,what is this “other” and how do I delete it? It seems to use up a lot of space. #iphone https://t.co/XX9BHoBOiC,device_how_to,AUTO_HANDLE,@765496 Hi there. That’s a great question. The following article has some helpful information on what’s in the “Other” category in iOS Storage: https://t.co/0yFHFRYSnX,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2751162,"If you tried to reach me , phone acting stupid , deleting messages and contacts , @115858 trying to get me to buy that IPhone X . Text me full names please ...",device_storage_issue,AUTO_HANDLE,"@770221 We want to help you. DM us, and we'll look into what's going on with your iPhone. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1557398,I’ve updated everything and finally caved in to pay for more storage and I still see boxes 🤦🏾‍♀️ why @115858 ??? #AppleUpdate 😭😭,software_update_issue,AUTO_HANDLE,@481411 We think this might help with that: https://t.co/xU1AGHStV6,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_451351,there HAS to be another way to stop cloud storage notifications other than by deleting stuff (although I did that to no avail). This is annoying the shit out of me and I need it to stop...NOW!,device_storage_issue,AUTO_HANDLE,"@158759 We can look into that storage with you and see what we need to do to make that message stop. Reach out to us in DM and send a screenshot of that message so we know exactly where to start, please.",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2984909,"The MacBook Pro keyboard is total failure of design, and the space bar only registers every other time. Keep in mind, I got this thing back from @AppleSupport two weeks ago. I want my 2015 MBP back.",device_hardware_issue,AUTO_HANDLE,"@326853 This is certainly not the kind of experience that we want for you to have with your Mac keyboard, but we can help out to make sure the space bar is responding properly. Reach out to us via DM, then we can work together from there. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2743089,Since 4 November i have had contact with the support about my iCloud storage and still no solution. How long will that take normally?,device_storage_issue,AUTO_HANDLE,@768346 Let's look into it together in DM. Send us a message with more details of what is going on and we'll follow up there. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1991446,"help my phone sounds like it’s getting conquered by intergalactic space aliens, not a joke actually need help",device_storage_issue,AUTO_HANDLE,@589367 You're in the right place for assistance. Send us a DM and let us know your iOS version and iPhone model so we can get started. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2367853,I missed you today lightning connector didn’t need you since morning 7 and still going strong on 30% at end of the day. With full day use. #iphone x @AppleSupport @115858 @116333,device_storage_issue,AUTO_HANDLE,"@664537 So, was Low Power Mode enabled? Also, you had 30% at the end of the day?",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_879290,"I need answers, I’m not kidding! Since when Siri reads a full text and active herself @AppleSupport https://t.co/xFwIgqpWFo",device_storage_issue,AUTO_HANDLE,@328745 We're here to help. Can you please tell us when you first encountered the issue?,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1886636,"Hi, experiencing consistent storage issues with my iphone even after paying for 50g of cloud. any chance you can look into it",device_storage_issue,AUTO_HANDLE,"@562705 Hey, we want to hear more about what's going on with the storage. Let's meet in DM, and we'll gather more details there. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_905289,help!!!! My full Apple Music iTunes library has disappeared !!! Help help help,subscription_services,AUTO_HANDLE,"@334916 We know how important your music is. If you go to Settings > Music, is iCloud Music Library enabled?",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_942549,"I'm not going to buy an @115858 iPhone again, I deleted most of my apps, pics & videos & it still tells me memory is full 😡#frustrating #mad",device_storage_issue,AUTO_HANDLE,@343447 We want to help. DM us and let us know what type of phone you have to get started. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_486124,"Hello! I have enabled Desktop and Documents sync to iCloud on my Mac, and even though I have 45GB left in iCloud storage, my Mac says its full and doesn’t sync properly. What can I do to resolve this issue? Thank you!",device_storage_issue,AUTO_HANDLE,"@230648 We're here for you. Storage in iCloud and on your device can get confusing at times. When you receive this error, what does it say exactly? We're asking to see if the error is for lack of iCloud storage or Mac storage.",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_602389,why do I have on my new IPhone 8 Plus such a bad WLAN and Cellular Connection? Full bars 10mbits/ sec. iPad Air 2 same position 90mbits/sec @115858,other_general,ESCALATE,"@262991 We’d love to assist with the Wi-Fi connection on your iPhone 8 Plus. To begin, which iOS version is installed on it? Also, what exactly is happening with the connection (e.g. frequent disconnects, doesn’t connect despite showing as connected, etc.)?",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1676241,what’s your return policy on opened & used MacBook laptops within the 14 day return period? Full refund?,order_shipping_issue,ESCALATE,"@315992 We’d like to point you in the right direction for your return question. Was it purchased at an Apple Store, or online?",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1872079,"ordered full price iPhone, express overnight. Fedex lost. your people tell me 4 days to resolve. need it tomorrow!!! android?",order_shipping_issue,ESCALATE,@559029 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_801718,I have more space than actual storage in iPhone :D @AppleSupport https://t.co/BLoEvCEfhC,device_storage_issue,AUTO_HANDLE,"@311036 That certainly is strange. Let's look into this together. Does restarting your iPhone make a difference? If not, meet us in DM. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1368856,Hi. How to watch TV show I purchased in iTunes Store if I do not have TV provider?,device_how_to,AUTO_HANDLE,@270253 Thanks for contacting us. We know it's important to enjoy purchases. We recommend checking out this link: https://t.co/TdyX7Tixpt,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_875114,How do I make the Apple podcasts app play all episodes one after the other like it used to?! Anyone?@AppleSupport @318,subscription_services,AUTO_HANDLE,@327768 We'd like to help. All available options can be found here. https://t.co/gQVExEKnrj,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1133674,iOS11 on the iPad is terrible how do I go back to 10,software_update_issue,AUTO_HANDLE,@198708 We'd love to help out with your iPad. Please let us know what you're experiencing and we'll go from there.,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1718282,how do I️ fix the I️ bug it’s driving me crazy!,device_how_to,AUTO_HANDLE,@520266 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_363382,"Oh boy, don't you just love it when @AppleSupport disconnect you mid-chat because they can't figure out how to resolve the problem. Rude.",device_how_to,AUTO_HANDLE,@202092 We'd like to look into this with you. Send us a DM and we can start there. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1394481,How do i pay for something with itunes credit please?? @AppleSupport @118721,device_how_to,AUTO_HANDLE,"@444293 This shows how credit works with the iTunes Store: https://t.co/qvAknnsTa5 For more, connect here: https://t.co/SDIe7UiyJN",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1635791,I️ just really don’t understand why @AppleSupport won’t tell us how to fix this “i” problem 🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,device_how_to,AUTO_HANDLE,@500361 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_849918,how do I turn this location service off ? It’s alrwady off :( help. https://t.co/nDrWF5qRHl,device_how_to,AUTO_HANDLE,@321947 We'd be happy to look into this with you further. DM us and we'll go from there.,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_310277,How do I transfer a Pages doc from my iPad to my Mac Mini/,device_how_to,AUTO_HANDLE,@190090 We'd like to help. This article should guide you in the right direction: https://t.co/5GRk2G9ncH,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1709321,what is this and how do I️ fix it??? It just started today. I️ can no longer type “I️” with this appearing!! #fixit https://t.co/L0VbbrAaxv,device_how_to,AUTO_HANDLE,@517940 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2371080,"ever since I updated to iOS11.1.1, I can no longer screenshot on iPhone X. Any solutions?",software_update_issue,AUTO_HANDLE,@684180 We can help! Taking a screenshot on an iPhone X is just a little bit different than you may be used to. Give the steps in the following article a try: https://t.co/iQkc2ZuaLN and let us know if that worked.,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1470719,Been editing my #greenscreen pics using #iPhone but saves as .AAE file- anyone know how to save as .jpg? @AppleSupport #techhelp https://t.co/uKNEWc48j6,device_how_to,AUTO_HANDLE,"@461370 We'll point you in the right direction. For help with Photos on iOS, connect with an Advisor here: https://t.co/IBIY3vMgPj",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_252768,Ok but seriously.... how do I️ get my #iphone to stop turning all my “i “s into this I️ @115858 #Help,device_how_to,AUTO_HANDLE,@176066 We would be glad to help. Are you using a third-party keyboard in Settings > General > Keyboard? Let us know in DM. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2364534,Hey @AppleSupport how do I fix this? It skips to the 2nd and sometimes 3rd and 4th songs when I try to play the 1st one. https://t.co/WUUi4XqsdG,device_how_to,AUTO_HANDLE,@682668 We'd be happy to help. Does this happen with every album and playlist or just certain ones? What version of iOS do you have in Settings > General > About? Let us know and we'll work together towards a resolution.,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_447416,please if my Apple Watch was paired which my old iPhone 5 but it stopped working how do I pair it with my new phone,device_how_to,AUTO_HANDLE,"@220972 We’d love to help. We have a helpful guide for how to set up your watch with another iPhone, which you can see here: https://t.co/6MzZgKsRTJ If your iPhone is not working, you may need to erase the watch, and then pair it with your new iPhone.",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1510476,t mobile has no idea how to set up Apple Watch 3 on their system getting the run around @115911 @115913 @AppleSupport,device_how_to,AUTO_HANDLE,,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_931414,Do you know how to fix an iPhone 6,device_how_to,AUTO_HANDLE,@340957 We'd be happy to address any issues that you're having. Could you please let us know what's going on?,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1967508,Hi @AppleSupport. Alarm didn’t go off when phone was on silent. First time ever. Overslept by 3 hours. How do I ever trust you again? 💔,device_how_to,AUTO_HANDLE,"@583019 Let's team up on this. To start, which iOS version is your iPhone running? Let us know in DM, and we'll meet you there. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1169570,"my phone was disabled, and I don't have an icloud. Am I going to lose all my data?",account_appleid_issue,ESCALATE,@395104 We'd like to help! Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1501802,I'm so mad 😡 my phone deleted all of my notes by itself and now when I'm trying to recover them it's saying that its $50! @115858 sucks 😭,account_appleid_issue,ESCALATE,@468588 Please let us know what occurred before the deletion. We'd like to help.,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2292763,"I'm trying to Change my Apple ID. I created new icloud account on my iphone (with new address that I want to use) and can't add it as ""Contactable at.."". It says: ""This email address is not available. Choose a different address"". My current address is icloud aswell",account_appleid_issue,ESCALATE,"@665822 We appreciate the time you've taken to contact us. Take a look here for some information that may help: https://t.co/xuZEqdPMFW If you have any further questions, just let us know.",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_417285,"Hi If I uncheck desktop & documents from iCloud so that my docs only get store on mac & not iCloud, will it delete my docs?",account_appleid_issue,ESCALATE,@212133 Hi there! Send us a DM and we'll be happy to go over that with you. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1122188,a text saying my Apple ID is about to run out is not from you right ?,account_appleid_issue,ESCALATE,@227426 Hello. An Apple ID does not expire. This appears to be a phishing attempt. Here's a great resource: https://t.co/LNMCdqt6fD,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2286867,7 attempts across 2 computers with iTunes and iCloud backup and still unsuccessful restoring a backup from my old iPhone to the new one. #BadDesign @AppleSupport,account_appleid_issue,ESCALATE,@654854 We'd like to help with this. Here is an article that can help. https://t.co/lOVrD5pu5o Please DM us if you need further help. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_753270,every single one of my photos in iCloud is super blurry and shows a (!) in the bottom left. Why?,other_general,ESCALATE,@251108 That's not the experience we want you to have. Join us in DM: https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1085594,"aight so i shut off my phone, and when i turned it on it says ""phone is disabled try in 1 hour"" randomly.... WTF why",account_appleid_issue,ESCALATE,@376081 We're glad you reached out so we can help you with a solution. What app was bothering you when you shut everything down?,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2366229,how do you use Face ID with ask to buy. It keeps asking for my password when my daughter wants to download something,account_appleid_issue,ESCALATE,@580029 We want to help. Which iOS version are you running? Let us know in DM. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1677880,why tf is my phone typing in code?!?,software_update_issue,AUTO_HANDLE,@510348 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2295718,I am locked out of my account is never ever happened to me ever !! And I’m exhausted from trying to recover I’m so frustrated just want it back !! Help !!,account_appleid_issue,ESCALATE,"@666593 Hi there! Which account are you locked out of, specifically? We'd be happy to help in any way we can.",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1598226,Signed out of my apple id but after signing in again I realized tgat @115948 deleted all of the BTS albums that I downloaded. HUHUHUH But the universe doesnt want me to be sad the neighbor was randomly playing Baepsae HUHUHU HELP @AppleSupport,account_appleid_issue,ESCALATE,@490890 Certainly not the experience we want you having. Please send us a DM so we can go from there. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_247570,"I installed 11.0.2, was prompted to change Password; now neither PW works on 6 plus or iPad.",account_appleid_issue,ESCALATE,@174824 Thanks for reaching out. DM which password you were asked to change so we can help. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2770780,"Dear @115858, how does one schedule an appointment for a unusable broken phone when they're required to enter a code that has been sent to said unusable broken phone? Asking for myself.",account_appleid_issue,ESCALATE,@774556 We are here to help whenever possible. What specifically is broken with your iPhone?,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2313565,just restored my new phone and there is a photo in my icloud photos that I haven’t taken or received?!,account_appleid_issue,ESCALATE,@315216 Thanks for reaching out about this situation. Do you use any other devices with iCloud? Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
